ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
372,UNIVERSITAS BRAWIJAYA,13721037,TEKNIK KIMIA,Sarjana,45.0,675.0,15.0,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821027,TEKNIK GEOFISIKA,Sarjana,30.0,446.0,14.9,Ketat
381,UNIVERSITAS AIRLANGGA,13811068,KEDOKTERAN (FIKKIA BANYUWANGI),Sarjana,15.0,222.0,14.8,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821008,TEKNIK KIMIA,Sarjana,60.0,886.0,14.8,Ketat
381,UNIVERSITAS AIRLANGGA,13811019,KESEHATAN MASYARAKAT (FIKKIA BANYUWANGI),Sarjana,30.0,445.0,14.8,Ketat
385,"UPN ""VETERAN"" JAWA TIMUR",13851029,KEDOKTERAN,Sarjana,40.0,590.0,14.8,Ketat
383,UNIVERSITAS NEGERI SURABAYA,13832025,KEPELATIHAN OLAHRAGA,Sarjana Terapan,42.0,619.0,14.7,Ketat
372,UNIVERSITAS BRAWIJAYA,13721065,HUBUNGAN INTERNASIONAL,Sarjana,75.0,1103.0,14.7,Ketat
373,UNIVERSITAS NEGERI MALANG,13731019,TEKNIK ELEKTRO,Sarjana,43.0,633.0,14.7,Ketat
373,UNIVERSITAS NEGERI MALANG,13731022,BIOTEKNOLOGI,Sarjana,27.0,393.0,14.6,Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831115,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Sarjana,35.0,507.0,14.5,Ketat
381,UNIVERSITAS AIRLANGGA,13811012,KEBIDANAN,Sarjana,30.0,432.0,14.4,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821057,BIOTEKNOLOGI,Sarjana,16.0,231.0,14.4,Ketat
372,UNIVERSITAS BRAWIJAYA,13721072,PERPAJAKAN,Sarjana,83.0,1180.0,14.2,Ketat
371,UNIVERSITAS JEMBER,13711019,ILMU KEPERAWATAN,Sarjana,72.0,1021.0,14.2,Ketat
